STATION NAME,AGENCY,NO. OF PORTS,STREET,CITY,STATE,POSTCODE,BOROUGH
NYC FLEET / DPRARSENAL#1,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#10,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#11,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#12,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#13,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#14,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#15,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#16,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#17,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#18,DPR,1,East Dr,New York,New York,10024,
NYC FLEET / DPRARSENAL#19,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#2,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#3,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#4,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#5,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#6,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#7,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#8,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRARSENAL#9,DPR,1,East Dr,New York,New York,10019,
NYC FLEET / DPRBKFORST#1A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRBKFORST#2A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRBKFORST#3A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRBLUHERON1A-B,DPR,2,Poillon Ave,Annadale,New York,10312,STATEN IS
NYC FLEET / DPRBROOKFLD1A-B,DPR,2,Arthur Kill Rd,Staten Island,New York,10308,STATEN IS
NYC FLEET / DPRBROOKFLD2A-B,DPR,2,Arthur Kill Rd,Staten Island,New York,10308,STATEN IS
NYC FLEET / DPRBROOKFLD3A-B,DPR,2,Arthur Kill Rd,Staten Island,New York,10308,STATEN IS
NYC FLEET / DPRBROOKFLD4A-B,DPR,2,Arthur Kill Rd,Staten Island,New York,10308,STATEN IS
NYC FLEET / DPRBROOKLYNBPC,DPR,2,Furman St,Brooklyn Heights,New York,11201,BROOKLYN
NYC FLEET / DPRBUSHWINL#1#2,DPR,2,Kent Ave,Brooklyn,New York,11249,BROOKLYN
NYC FLEET / DPRBUSHWINL#3#4,DPR,2,N 10th St,Williamsburg,New York,11249,BROOKLYN
NYC FLEET / DPRBXFORST#1A-B,DPR,2,Bronx River Pkwy,Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#2A-B,DPR,2,Bronx River Pkwy,Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#3A-B,DPR,2,Bronx River Pkwy,Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#4A-B,DPR,2,Bronx River Pkwy,Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#5A-B,DPR,2,Unionport Rd,East Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#6A-B,DPR,2,Unionport Rd,East Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#7A-B,DPR,2,Unionport Rd,East Bronx,New York,10462,BRONX
NYC FLEET / DPRBXFORST#8A-B,DPR,2,Unionport Rd,BRONX,New York,10462,BRONX
NYC FLEET / DPRBXFORST#9A-B,DPR,2,Unionport Rd,BRONX,New York,10462,BRONX
NYC FLEET / DPRBXFRST#10A-B,DPR,2,Unionport Rd,BRONX,New York,10462,BRONX
NYC FLEET / DPRBXPEPNORTH-1,DPR,2,Westchester Av/Burr Av,Pelham Bay,New York,10461,
NYC FLEET / DPRBXPEPNORTH-2,DPR,2,Westchester Av/Burr Av,Pelham Bay,New York,10461,
NYC FLEET / DPRBXRANWIGWAM1,DPR,1,Bronx River Parkway-North East section,Bronx,New York,10462,
NYC FLEET / DPRBXRANWIGWAM2,DPR,1,Bronx River Parkway-North East section,Bronx,New York,10462,
NYC FLEET / DPRBXRANWIGWAM3,DPR,1,Bronx River Parkway-North East section,Bronx,New York,10462,
NYC FLEET / DPRBXRANWIGWAM4,DPR,1,Bronx River Parkway-North East section,Bronx,New York,10462,
NYC FLEET / DPRBXSTARLGT-1,DPR,1,Bronx River House,BRONX,New York,10459,BRONX
NYC FLEET / DPRBXSTARLGT-2,DPR,1,Bronx River House,BRONX,New York,10459,BRONX
NYC FLEET / DPRCALVAUX-S1,DPR,1,Shore Pkwy,Gravesend,New York,11214,BROOKLYN
NYC FLEET / DPRCALVAUX-S2,DPR,1,Shore Pkwy,Gravesend,New York,11214,BROOKLYN
NYC FLEET / DPRCONFHSE1A-B,DPR,2,Satterlee St,Tottenville,New York,10307,STATEN IS
NYC FLEET / DPRCROTONAPL#1,DPR,1,Fulton Ave,BRONX,New York,10457,BRONX
NYC FLEET / DPRCROTONAPL#2,DPR,1,Fulton Ave,Bronx,New York,10457,BRONX
NYC FLEET / DPRCUNINGHM1A-B,DPR,2,Union Tpke,Fresh Meadows,New York,11366,QUEENS
NYC FLEET / DPRCUNINGHM2A-B,DPR,2,Union Tpke,Fresh Meadows,New York,11366,QUEENS
NYC FLEET / DPRCUNINGHM3A-B,DPR,2,Union Tpke,Fresh Meadows,New York,11366,QUEENS
NYC FLEET / DPRCUNINGHM4A-B,DPR,2,Union Tpke,Fresh Meadows,New York,11366,QUEENS
NYC FLEET / DPRCUNINGHM5A-B,DPR,2,Grand Central Parkway N Svc Rd,Queens,New York,11423,
NYC FLEET / DPRCUNINGHM6A-B,DPR,2,Grand Central Parkway N Svc Rd,Queens,New York,11423,
NYC FLEET / DPRCUNINGHMARC,DPR,1,Cunningham Park State Rte,Fresh Meadows,New York,11366,QUEENS
NYC FLEET / DPRFLUSHING1A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPRFLUSHING2A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPRFLUSHING3A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPRFLUSHING4A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPRFLUSHING5A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPRFMAQUA-1A-B,DPR,2,Roosevelt Ave,Flushing,New York,11355,QUEENS
NYC FLEET / DPRFMAQUATIC-1,DPR,1,Meridian Road,Flushing,New York,11355,QUEENS
NYC FLEET / DPRFRKILLS1A-B,DPR,2,Unnamed Road,Staten Island,New York,10314,
NYC FLEET / DPRFRKILLS2A-B,DPR,2,Unnamed Road,Staten Island,New York,10314,
NYC FLEET / DPRFTTOTTEN-S1,DPR,1,Murray Ave,Fort Totten,New York,11359,
NYC FLEET / DPRFTTOTTEN-S2,DPR,1,Murray Ave,Fort Totten,New York,11359,
NYC FLEET / DPRFTTOTTEN1A-B,DPR,2,Bayside St,Bayside,New York,11359,
NYC FLEET / DPRFTTOTTEN2A-B,DPR,2,Bayside St,Bayside,New York,11359,
NYC FLEET / DPRFTTOTTEN3A-B,DPR,2,Bayside St,Bayside,New York,11359,
NYC FLEET / DPRGREENBELT#1,DPR,1,Brielle Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / DPRHIGHROCK#1,DPR,1,Nevada Ave,Staten Island,New York,10306,STATEN IS
NYC FLEET / DPRHIGHWAYP2-S1,DPR,1,Flatbush Ave,Brooklyn,New York,11234,BROOKLYN
NYC FLEET / DPRHIGHWAYP2-S2,DPR,1,Flatbush Ave,Brooklyn,New York,11234,BROOKLYN
NYC FLEET / DPRICAHNLOTE-S1,DPR,1,Main Rdwy/ICAHN Stadium,New York,New York,10035,
NYC FLEET / DPRICAHNLOTE-S3,DPR,1,Main Rdwy/Tennis Center 1,New York,New York,10035,
NYC FLEET / DPRICAHNSTADIUM,DPR,1,Randalls Is Rd,New York,New York,10035,
NYC FLEET / DPRLITCHFLD1A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLITCHFLD2A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLITCHFLD3A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLITCHFLD4A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLITCHFLD5A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLITCHFLD6A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLITCHFLD7A-B,DPR,2,Prospect Park West,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRLYONSARC,DPR,1,Hannah St,Tompkinsville,New York,10304,STATEN IS
NYC FLEET / DPRLYONSPL1A-B,DPR,2,Murray Hulbert Ave,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRLYONSPL2A-B,DPR,2,Murray Hulbert Ave,Staten Island,New York,10304,STATEN IS
NYC FLEET / DPRMBLOT7-S1,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,STATEN IS
NYC FLEET / DPRMBLOT7-S2,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,STATEN IS
NYC FLEET / DPRMBLOT8_1_L3,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,STATEN IS
NYC FLEET / DPRMBLOT8_2_L3,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,STATEN IS
NYC FLEET / DPRMBLOT8-S1,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,
NYC FLEET / DPRMBLOT8-S2,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,
NYC FLEET / DPRMBLOT8-S3,DPR,1,Father Capodanno Blvd,Midland Beach,New York,10305,
NYC FLEET / DPRMILLPOND1&2,DPR,2,Major Deegan Expy,West Bronx,New York,10451,
NYC FLEET / DPRNMEADOW#1A-B,DPR,2,St Transverse,New York,New York,10029,
NYC FLEET / DPRNMEADOW#2A-B,DPR,2,St Transverse,New York,New York,10029,
NYC FLEET / DPROAKRIDGE#1#2,DPR,2,Forest Park Dr,Woodhaven,New York,11421,
NYC FLEET / DPROCEANBR#1A-B,DPR,2,Father Capodanno Blvd,South Beach,New York,10305,STATEN IS
NYC FLEET / DPROCEANBR#2A-B,DPR,2,Father Capodanno Blvd,South Beach,New York,10305,STATEN IS
NYC FLEET / DPROLMBRADDICK1,DPR,1,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#10A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#11A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#12A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#13A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#14A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#15A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#16A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#17A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTD#18A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#1A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#2A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#3A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#4A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#5A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#6A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#7A-B,DPR,2,Roosevelt Ave,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#8A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTED#9A-B,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROLMSTEDFOR#3,DPR,1,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSDFR#10#11,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSDFR#12#13,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSDFR#14#15,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSDFR#16,DPR,1,Grand Central Pkwy,Corona,New York,11368,
NYC FLEET / DPROMSTDFOR#1#2,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSTDFOR#4#5,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSTDFOR#6#7,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROMSTDFOR#8#9,DPR,2,Olmsted Dr,Corona,New York,11368,QUEENS
NYC FLEET / DPROVERLOOK1A-B,DPR,2,Park Ln,Kew Gardens,New York,11415,QUEENS
NYC FLEET / DPRPARADE1-2,DPR,2,Coney Island Ave,Flatbush,New York,11218,BROOKLYN
NYC FLEET / DPRPARADE3-4,DPR,2,Coney Island Ave,Flatbush,New York,11218,BROOKLYN
NYC FLEET / DPRPAYSONPLAY#1,DPR,2,Dyckman St,New York,New York,10034,MANHATTAN
NYC FLEET / DPRPEPBURR-S1,DPR,1,Burr Ave,Bronx,New York,10461,BRONX
NYC FLEET / DPRPEPBURR-S2,DPR,1,Burr Ave,Middletown - Pelham Bay,New York,10461,BRONX
NYC FLEET / DPRPEPBURR-S3,DPR,1,Burr Ave,Middletown - Pelham Bay,New York,10461,BRONX
NYC FLEET / DPRPRSPCTYARDS1,DPR,1,West Dr,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRPRSPCTYARDS2,DPR,1,West Dr,Brooklyn,New York,11215,BROOKLYN
NYC FLEET / DPRQBLIC#1&2,DPR,2,Queens Plaza S,Long Island City,New York,11101,QUEENS
NYC FLEET / DPRQBLIC#3&4,DPR,2,street and queens plaza south,Long Island City,New York,11101,
NYC FLEET / DPRQNSMSEUM#1#2,DPR,2,Avenue of the States,Corona,New York,11368,
NYC FLEET / DPRQNSSHOPS1A-B,DPR,2,88th Pl,Flushing,New York,11385,QUEENS
NYC FLEET / DPRQNSSHOPS2A-B,DPR,2,88th Pl,Flushing,New York,11385,QUEENS
NYC FLEET / DPRQNSSTHSE#1#2,DPR,2,Flushing Meadows Corona Park Rd,Queens,New York,11368,QUEENS
NYC FLEET / DPRQNSSTHSE#3#4,DPR,2,Flushing Meadows Corona Park Rd,QUEENS,New York,11368,QUEENS
NYC FLEET / DPRRANAQUA#1,DPR,1,Bronx River Pkwy,new york city,New York,10462,BRONX
NYC FLEET / DPRRANAQUA#2,DPR,1,Bronx River Pkwy,new york city,New York,10462,BRONX
NYC FLEET / DPRRANAQUA#3,DPR,1,Bronx River Pkwy,new york city,New York,10462,BRONX
NYC FLEET / DPRRANAQUA#4,DPR,1,Bronx River Pkwy,Bronx,New York,10462,BRONX
NYC FLEET / DPRRANAQUA#5,DPR,1,Bronx River Pkwy,Bronx,New York,10462,BRONX
NYC FLEET / DPRRB75ST1A-B,DPR,2,Beach 75th St,Far Rockaway,New York,11692,QUEENS
NYC FLEET / DPRRB75ST2A-B,DPR,2,Beach 75th St,Far Rockaway,New York,11692,QUEENS
NYC FLEET / DPRRIVERSIDE-S1,DPR,1,Hudson River Greenway,New York,New York,10025,
NYC FLEET / DPRRIVERSIDE-S2,DPR,1,NY-9A,New York,New York,10025,
NYC FLEET / DPRROCKAWAY106S,DPR,1,Shore Front Pkwy,Far Rockaway,New York,11694,QUEENS
NYC FLEET / DPRROCKAWAY17S,DPR,1,Beach 17th St.,Far Rockaway,New York,11691,
NYC FLEET / DPRROCKAWAY17ST,DPR,2,Seagirt Blvd,Far Rockaway,New York,11691,QUEENS
NYC FLEET / DPRROCKAWAY86S,DPR,1,Shore Front Pkwy,Rockaway Beach,New York,11693,QUEENS
NYC FLEET / DPRROCKAWAY97S,DPR,1,Shore Front Pkwy,Rockaway Park,New York,11694,QUEENS
NYC FLEET / DPRSBLOT4-S1,DPR,1,Father Capodanno Blvd,South Beach,New York,10305,STATEN IS
NYC FLEET / DPRSBLOT4-S2,DPR,1,Father Capodanno Blvd,South Beach,New York,10305,STATEN IS
NYC FLEET / DPRSID1HDQT#1#2,DPR,2,Clove Rd,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSIFRSTRY#3#4,DPR,2,Slosson Ave,Staten Island,New York,10314,STATEN IS
NYC FLEET / DPRSIFRSTRY#5#6,DPR,2,Slosson Ave,Castleton Corners,New York,10314,STATEN IS
NYC FLEET / DPRSIFRSTRY#7#8,DPR,2,Slosson Ave,Castleton Corners,New York,10314,STATEN IS
NYC FLEET / DPRSISHOPS#1#2,DPR,2,Slosson Ave,staten island,New York,10314,STATEN IS
NYC FLEET / DPRSLTENNIS-S1,DPR,1,Revere St,Silver Lake,New York,10301,STATEN IS
NYC FLEET / DPRSLTENNIS-S2,DPR,1,Revere St,Silver Lake,New York,10301,STATEN IS
NYC FLEET / DPRSLVRLAKE1-CP,DPR,1,Revere St,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSLVRLAKE1A-B,DPR,2,Revere St,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSLVRLAKE2A-B,DPR,2,Revere St,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSLVRLAKE3A-B,DPR,2,Revere St,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSLVRLAKE4A-B,DPR,2,Revere St,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSLVRLAKE5A-B,DPR,2,Revere St,Staten Island,New York,10301,STATEN IS
NYC FLEET / DPRSOUTHBEACH#1,DPR,1,Sand Ln,Staten Island,New York,10305,STATEN IS
NYC FLEET / DPRSOUTHBEACH#2,DPR,1,Sand Ln,staten Island,New York,10305,STATEN IS
NYC FLEET / DPRTOTENBLG4222,DPR,1,Weaver Ave,Bayside,New York,11359,QUEENS
NYC FLEET / DPRTOTTENBLG203,DPR,1,Totten Ave,Bayside,New York,11359,QUEENS
NYC FLEET / DPRTOTTENBLG422,DPR,1,Weaver Ave,Queens,New York,11359,QUEENS
NYC FLEET / DPRTOTTENBLG431,DPR,2,Walter Reed Rd,Bayside,New York,11359,QUEENS
NYC FLEET / DPRWFMARINA-DC1,DPR,1,Marina Rd,Corona,New York,11368,
NYC FLEET / DPRWFMARINA#1#2,DPR,2,Flushing Bay Promenade,East Elmhurst,New York,11369,
NYC FLEET / DPRWFMARINA#3,DPR,1,Marina Rd,Queens,New York,11368,
NYC FLEET / DPRWOLFESPP-S1,DPR,1,Chester Ave,New York,New York,10312,
NYC FLEET / DSNY_BETTSAVE-1,DSNY,1,53rd Ave,Queens,New York,11377,QUEENS
NYC FLEET / DSNY_BETTSAVE-2,DSNY,1,53rd Ave,Queens,New York,11377,QUEENS
NYC FLEET / DSNY_BK1-1,DSNY,2,Varick ave,East Williamsburg,New York,11237,BROOKLYN
NYC FLEET / DSNY_BK1-2 L3,DSNY,1,Varick Ave,East Williamsburg,New York,11237,BROOKLYN
NYC FLEET / DSNY_BK10-1,DSNY,2,1st ave,Brooklyn,New York,11232,BROOKLYN
NYC FLEET / DSNY_BK11-1,DSNY,2,Shore Pkwy,Brooklyn,New York,11214,BROOKLYN
NYC FLEET / DSNY_BK14-1,DSNY,2,Ralph Ave,Canarsie,New York,11236,BROOKLYN
NYC FLEET / DSNY_BK17-1,DSNY,1,Avenue D,Brooklyn,New York,11236,BROOKLYN
NYC FLEET / DSNY_BK17-2,DSNY,1,Avenue D,Brooklyn,New York,11236,BROOKLYN
NYC FLEET / DSNY_BK18-1,DSNY,1,Foster Ave,Brooklyn,New York,11236,BROOKLYN
NYC FLEET / DSNY_BK18-2,DSNY,1,Foster Ave,Brooklyn,New York,11236,BROOKLYN
NYC FLEET / DSNY_BK2-1,DSNY,2,Hamilton Ave,Gowanus,New York,11232,BROOKLYN
NYC FLEET / DSNY_BK3-1,DSNY,1,Johnson Ave,Brooklyn,New York,11237,BROOKLYN
NYC FLEET / DSNY_BK4-1,DSNY,2,Varick Ave,East Williamsburg,New York,11237,BROOKLYN
NYC FLEET / DSNY_BK4-2,DSNY,2,Varick Ave,East Williamsburg,New York,11237,BROOKLYN
NYC FLEET / DSNY_BK5-1,DSNY,2,Milford street,East New York,New York,11208,BROOKLYN
NYC FLEET / DSNY_BK6-1,DSNY,1,2nd Ave,brooklyn,New York,11215,BROOKLYN
NYC FLEET / DSNY_BK6A-1,DSNY,1,Van Brunt St,brooklyn,New York,11231,BROOKLYN
NYC FLEET / DSNY_BK7-1,DSNY,2,1st ave,Sunset Park,New York,11232,BROOKLYN
NYC FLEET / DSNY_BK8-1,DSNY,2,Pacific St,Crown Heights,New York,11213,BROOKLYN
NYC FLEET / DSNY_BKLC-1,DSNY,2,Forbell St,East New York,New York,11208,BROOKLYN
NYC FLEET / DSNY_BX10-1,DSNY,2,Zerega Ave,East Bronx,New York,10473,BRONX
NYC FLEET / DSNY_BX12-1,DSNY,2,E 233rd St,East Bronx,New York,10475,BRONX
NYC FLEET / DSNY_BX12-2,DSNY,1,E 233rd St,New York,New York,10475,BRONX
NYC FLEET / DSNY_BX12-3,DSNY,1,E 233rd St,New York,New York,10475,BRONX
NYC FLEET / DSNY_BX12-4,DSNY,1,E 233rd St,bronx,New York,10475,BRONX
NYC FLEET / DSNY_BX12-5,DSNY,1,E 233rd St,bronx,New York,10475,BRONX
NYC FLEET / DSNY_BX12-6,DSNY,1,E 233rd St,Bronx,New York,10475,BRONX
NYC FLEET / DSNY_BX12-7,DSNY,1,E 233rd St,Bronx,New York,10475,BRONX
NYC FLEET / DSNY_BX2-1,DSNY,2,Casanova St,West Bronx,New York,10474,BRONX
NYC FLEET / DSNY_BX5-1,DSNY,1,Cromwell Ave,Bronx,New York,10452,BRONX
NYC FLEET / DSNY_BX6-1,DSNY,2,176th St,West Bronx,New York,10460,
NYC FLEET / DSNY_BX6-2,DSNY,1,E 176th St,Bronx,New York,10460,BRONX
NYC FLEET / DSNY_BX6A-1,DSNY,1,E 176th St,Bronx,New York,10460,BRONX
NYC FLEET / DSNY_BX6A-2,DSNY,1,E 176th St,Bronx,New York,10460,BRONX
NYC FLEET / DSNY_BXENF-1,DSNY,2,West farms road,Bronx,New York,10460,BRONX
NYC FLEET / DSNY_BXENF-2,DSNY,2,W Farms Rd,Bronx,New York,10460,BRONX
NYC FLEET / DSNY_BXENF-3,DSNY,2,West farms road,Bronx,New York,10460,BRONX
NYC FLEET / DSNY_CBS-1,DSNY,1,Avenue D,Brooklyn,New York,11236,BROOKLYN
NYC FLEET / DSNY_CRS_5F_NE1,DSNY,2,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_CRS_5F_NE2,DSNY,2,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_CRS_BBM-1,DSNY,1,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_CRS_MM-1,DSNY,2,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_EMM_LAB-1,DSNY,1,58th St,Queens,New York,11377,QUEENS
NYC FLEET / DSNY_HENRY-1,DSNY,1,henry street,New York,New York,10002,MANHATTAN
NYC FLEET / DSNY_HENRY-2,DSNY,1,henry street,New York,New York,10002,MANHATTAN
NYC FLEET / DSNY_HENRY-3,DSNY,1,henry street,New York,New York,10002,MANHATTAN
NYC FLEET / DSNY_HENRY-4,DSNY,1,henry street,New York,New York,10002,MANHATTAN
NYC FLEET / DSNY_MBS-1,DSNY,1,West 26th street,New York,New York,10001,MANHATTAN
NYC FLEET / DSNY_MN1-1,DSNY,2,Spring St,New York,New York,10013,MANHATTAN
NYC FLEET / DSNY_MN10-1,DSNY,1,E 131st St,New York,New York,10037,MANHATTAN
NYC FLEET / DSNY_MN10-2,DSNY,1,E 131st St,New York,New York,10037,MANHATTAN
NYC FLEET / DSNY_MN10-3,DSNY,1,E 131st St,New York,New York,10037,MANHATTAN
NYC FLEET / DSNY_MN10-4,DSNY,1,E 131st St,New York,New York,10037,MANHATTAN
NYC FLEET / DSNY_MN10-5,DSNY,1,E 131st St,New York,New York,10037,MANHATTAN
NYC FLEET / DSNY_MN12-1,DSNY,2,West 215 street,New York,New York,10034,MANHATTAN
NYC FLEET / DSNY_MN2-1,DSNY,2,Spring St,New York,New York,10013,MANHATTAN
NYC FLEET / DSNY_MN3-1,DSNY,2,South Street Pier 36,New York,New York,10002,
NYC FLEET / DSNY_MN3-2,DSNY,2,South Street Pier 36,New York,New York,10002,
NYC FLEET / DSNY_MN3-3,DSNY,2,South Street pier 36,New York,New York,10002,
NYC FLEET / DSNY_MN4-1,DSNY,2,12th ave,New York,New York,10019,MANHATTAN
NYC FLEET / DSNY_MN5-1,DSNY,2,Spring St,New York,New York,10013,MANHATTAN
NYC FLEET / DSNY_MN7-1,DSNY,2,12 ave,New York,New York,10019,MANHATTAN
NYC FLEET / DSNY_MN7-2,DSNY,2,12th ave,New York,New York,10019,MANHATTAN
NYC FLEET / DSNY_MN7-3,DSNY,1,12th Ave,New York,New York,10019,MANHATTAN
NYC FLEET / DSNY_MN7-4,DSNY,1,12th Ave,New York,New York,10019,MANHATTAN
NYC FLEET / DSNY_MN7-5,DSNY,1,12th Ave,New York,New York,10019,MANHATTAN
NYC FLEET / DSNY_Q10-1,DSNY,2,150th Ave,Jamaica,New York,11430,QUEENS
NYC FLEET / DSNY_Q13J-1,DSNY,1,146th Ave,Jamaica,New York,11434,QUEENS
NYC FLEET / DSNY_Q13J-2,DSNY,2,146th Ave,Jamaica,New York,11434,QUEENS
NYC FLEET / DSNY_Q14-1,DSNY,1,Almeda Ave,Queens,New York,11691,QUEENS
NYC FLEET / DSNY_Q14-2,DSNY,2,Almeda Ave,Far Rockaway,New York,11691,QUEENS
NYC FLEET / DSNY_Q14-3,DSNY,2,Almeda Ave,Far Rockaway,New York,11691,QUEENS
NYC FLEET / DSNY_Q2-1,DSNY,1,58th St,Queens,New York,11377,QUEENS
NYC FLEET / DSNY_Q2-2,DSNY,2,58th St,Flushing,New York,11377,QUEENS
NYC FLEET / DSNY_Q3-1,DSNY,1,58th St,woodside,New York,11377,QUEENS
NYC FLEET / DSNY_Q4-1,DSNY,2,52nd Rd,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_Q4-2,DSNY,1,58th St,Woodside,New York,11377,QUEENS
NYC FLEET / DSNY_Q5-1,DSNY,2,48th street,Maspeth,New York,11377,
NYC FLEET / DSNY_Q5-2,DSNY,2,48th St,Maspeth,New York,11377,
NYC FLEET / DSNY_Q6-1,DSNY,1,53rd Ave,Queens,New York,11377,QUEENS
